customer_id,customer_type,industry,region,registration_date,annual_revenue,customer_status,recency,frequency,monetary_value,interaction_count,avg_satisfaction,avg_resolution_time,complaints,customer_lifetime_value
C0001,B2B,Healthcare,East,2024-08-02,129997.01,Active,69.0,4.0,35531.86,1.0,2.0,33.4,0.0,35531.86
C0002,B2B,Technology,North,2025-02-17,299341.33,Active,97.0,1.0,5639.99,3.0,3.3333333333333335,36.03333333333334,0.0,5639.99
C0003,B2B,Manufacturing,South,2021-03-03,257624.09,Active,301.0,7.0,57454.740000000005,1.0,4.0,67.9,1.0,57454.740000000005
C0004,B2B,Technology,West,2024-02-24,118015.9,Active,468.0,4.0,24309.15,2.0,3.0,43.599999999999994,1.0,24309.15
C0005,B2B,Manufacturing,West,2025-07-16,176722.75,Active,153.0,7.0,38700.41,6.0,3.5,16.349999999999998,3.0,38700.41
C0006,B2C,Healthcare,North,2022-03-17,196164.38,Active,151.0,4.0,12608.5,2.0,4.0,56.55,0.0,12608.5
C0007,B2C,Technology,East,2025-10-02,405492.85,Inactive,441.0,8.0,60513.74,3.0,2.0,52.800000000000004,0.0,60513.74
C0008,B2B,Finance,North,2024-01-04,280499.91,Active,168.0,8.0,52661.020000000004,2.0,3.5,51.3,0.0,52661.020000000004
C0009,B2B,Healthcare,North,2024-03-28,334019.03,Active,563.0,2.0,7238.23,2.0,2.5,14.05,1.0,7238.23
C0010,B2B,Healthcare,West,2021-06-13,146207.07,Active,92.0,5.0,30618.12,3.0,3.0,26.566666666666666,1.0,30618.12
C0011,B2C,Retail,South,2021-11-30,338385.84,Active,52.0,5.0,44124.41,0.0,0.0,0.0,0.0,44124.41
C0012,B2B,Technology,South,2024-06-01,90067.22,Inactive,130.0,5.0,47473.24,4.0,3.25,30.45,1.0,47473.24
C0013,B2B,Retail,North,2022-07-07,122233.56,Active,554.0,4.0,17862.3,3.0,3.0,23.933333333333334,0.0,17862.3
C0014,B2C,Finance,East,2025-07-07,42432.42,Active,565.0,2.0,9982.68,2.0,3.0,29.3,0.0,9982.68
